Price;Close;High;Low;Open;Volume
Ticker;PETR4.SA;PETR4.SA;PETR4.SA;PETR4.SA;PETR4.SA
Date;;;;;
02/06/2025;30,17;30,72;30,10;30,71;35111000,00
30/05/2025;30,00;30,36;30,00;30,24;45127700,00
29/05/2025;30,33;30,58;30,14;30,56;20778800,00
28/05/2025;30,51;30,79;30,51;30,74;30516200,00
27/05/2025;30,61;30,74;30,44;30,60;34361500,00
26/05/2025;30,38;30,61;30,23;30,54;21277100,00
23/05/2025;30,48;30,48;29,97;30,18;25732400,00
22/05/2025;30,41;30,72;30,30;30,71;42207300,00
21/05/2025;30,82;31,44;30,76;31,27;28724100,00
20/05/2025;31,17;31,46;31,02;31,11;33485800,00
19/05/2025;31,04;31,16;30,77;30,91;30200500,00
16/05/2025;31,08;31,22;30,73;30,91;48111800,00
15/05/2025;30,94;31,15;30,67;30,77;32468300,00
14/05/2025;30,98;31,18;30,77;31,06;28060100,00
13/05/2025;31,19;31,31;30,43;30,84;56165300,00
12/05/2025;30,72;31,23;30,72;30,97;53493600,00
09/05/2025;30,01;30,27;29,74;30,19;25075600,00
08/05/2025;29,81;30,12;29,56;29,70;44665000,00
07/05/2025;29,40;29,41;29,03;29,41;35050400,00
06/05/2025;29,27;29,50;29,08;29,23;52751300,00
05/05/2025;28,79;29,72;28,79;29,68;59011700,00
02/05/2025;29,91;29,91;29,09;29,32;33146600,00
30/04/2025;29,11;29,69;29,08;29,52;52798300,00
29/04/2025;29,67;29,91;29,27;29,41;33041100,00
28/04/2025;29,51;29,88;29,37;29,67;27362000,00
25/04/2025;29,63;29,83;29,32;29,45;35581500,00
24/04/2025;29,54;29,94;29,18;29,91;61589200,00
23/04/2025;29,68;30,85;29,61;30,43;71566500,00
22/04/2025;30,02;30,34;29,44;29,90;41683900,00
17/04/2025;29,95;30,27;29,57;29,77;65752700,00
16/04/2025;29,38;29,82;29,23;29,65;73227700,00
15/04/2025;29,38;30,20;29,36;30,07;58276900,00
14/04/2025;30,07;31,16;29,79;30,89;56015200,00
11/04/2025;30,18;30,61;29,17;29,85;65329400,00
10/04/2025;29,59;31,29;29,56;31,27;71250600,00
09/04/2025;31,55;31,82;29,41;29,67;106391600,00
08/04/2025;30,32;32,16;30,21;31,93;62128500,00
07/04/2025;31,44;32,74;31,37;32,14;85724900,00
04/04/2025;32,74;33,18;32,04;32,92;87263200,00
03/04/2025;34,11;34,40;33,74;34,26;65896000,00
02/04/2025;35,25;35,35;34,90;35,32;16959200,00
01/04/2025;35,35;35,98;35,25;35,35;19075600,00
31/03/2025;35,21;35,67;35,14;35,39;26049400,00
28/03/2025;35,47;35,89;35,15;35,68;22057700,00
27/03/2025;35,70;35,98;35,43;35,47;28444400,00
26/03/2025;35,43;35,66;35,20;35,20;26870300,00
25/03/2025;35,10;35,55;34,71;34,92;28036100,00
24/03/2025;34,82;35,00;34,59;34,78;20348000,00
21/03/2025;34,87;35,09;34,28;34,32;61175700,00
20/03/2025;34,34;34,57;33,89;34,26;46921900,00
19/03/2025;34,26;34,43;34,14;34,37;21180500,00
18/03/2025;34,29;34,50;34,03;34,29;15086400,00
17/03/2025;34,26;34,50;33,73;33,74;31175900,00
14/03/2025;33,64;33,89;32,57;32,79;41529400,00
13/03/2025;32,63;32,73;32,26;32,39;19263600,00
12/03/2025;32,31;32,60;32,18;32,37;20149100,00
11/03/2025;32,31;33,07;32,13;32,93;28805400,00
10/03/2025;32,81;32,81;32,22;32,77;35037200,00
07/03/2025;32,82;33,10;32,44;32,49;28074700,00
06/03/2025;32,46;33,28;32,25;32,99;47749600,00
05/03/2025;32,81;33,27;32,74;33,18;48552000,00
28/02/2025;34,05;34,63;33,93;34,58;55476800,00
27/02/2025;34,69;34,81;33,62;34,45;129693500,00
26/02/2025;35,96;36,25;35,77;36,25;27420200,00
25/02/2025;35,96;36,43;35,85;36,12;31960900,00
24/02/2025;36,12;36,49;35,82;36,48;27830300,00
21/02/2025;36,38;36,51;36,17;36,51;30115200,00
20/02/2025;36,48;36,55;36,30;36,41;26641200,00
19/02/2025;36,43;36,63;35,89;36,11;32648200,00
18/02/2025;36,35;36,43;35,73;35,74;44062600,00
17/02/2025;35,70;35,93;35,51;35,67;22615200,00
14/02/2025;35,48;35,61;34,49;34,53;40322000,00
13/02/2025;34,42;34,43;34,13;34,30;15351300,00
12/02/2025;34,38;34,82;34,22;34,73;37364500,00
11/02/2025;34,90;35,15;34,76;35,07;16624300,00
10/02/2025;34,90;35,09;34,80;34,88;17483300,00
07/02/2025;34,66;35,09;34,46;34,93;21438700,00
06/02/2025;34,86;35,17;34,78;34,91;17512400,00
05/02/2025;34,93;35,13;34,82;35,11;20539800,00
04/02/2025;35,18;35,39;34,89;35,35;34290300,00
03/02/2025;35,53;35,83;35,42;35,78;24877600,00
31/01/2025;35,71;36,36;35,30;35,43;37044800,00
30/01/2025;35,43;35,54;34,87;35,10;30916000,00
29/01/2025;34,97;35,37;34,83;35,25;18204400,00
28/01/2025;35,18;35,53;34,95;35,44;27621700,00
27/01/2025;35,23;35,35;34,56;34,65;29809700,00
24/01/2025;34,72;34,97;34,49;34,95;16216500,00
23/01/2025;34,90;35,45;34,78;35,17;26725700,00
22/01/2025;35,15;35,66;35,09;35,40;21832200,00
21/01/2025;35,35;35,39;34,80;35,16;23612200,00
20/01/2025;35,34;35,47;35,17;35,27;13912800,00
17/01/2025;35,25;35,44;34,92;35,07;39941100,00
16/01/2025;35,11;35,29;34,84;35,26;26733200,00
15/01/2025;35,34;35,36;34,87;34,99;32512700,00
14/01/2025;34,89;35,18;34,66;35,17;29173100,00
13/01/2025;35,13;35,56;35,03;35,35;22897100,00
10/01/2025;35,00;35,55;34,97;35,30;40328800,00
09/01/2025;34,91;35,03;34,78;34,78;11526600,00
08/01/2025;34,76;35,17;34,52;35,05;24483500,00
07/01/2025;35,04;35,30;34,40;34,63;37753300,00
06/01/2025;34,31;34,77;34,17;34,68;23760200,00
03/01/2025;34,47;35,10;34,42;34,95;23314200,00
02/01/2025;34,84;35,15;34,29;34,51;30046800,00
30/12/2024;34,29;34,46;33,90;33,90;22355600,00
27/12/2024;33,79;34,11;33,74;34,11;24167200,00
26/12/2024;33,90;34,11;33,73;33,76;22920700,00
23/12/2024;34,93;35,11;34,80;35,06;43785600,00
20/12/2024;34,92;35,39;34,79;35,21;59277400,00
